Views,Likes,Comments,Reposts,Poll,Hashtag,Date,Day,Time,Time_cat,Followers
567,13,0,4,,#олимпикс_вебинар,2020-11-20 14:09:54,2020-11-20,14:09:54,c 14 до 18 часов,1326
523,7,0,0,,,2020-11-19 19:25:14,2020-11-19,19:25:14,c 18 до 22 часов,1326
10628,17,0,2,,#s,2020-11-17 15:53:37,2020-11-17,15:53:37,c 14 до 18 часов,1326
685,17,0,6,,#олимпикс_подборка,2020-11-15 15:39:45,2020-11-15,15:39:45,c 14 до 18 часов,1326
829,6,0,0,118.0,,2020-11-14 18:09:57,2020-11-14,18:09:57,c 18 до 22 часов,1326
759,16,0,0,,,2020-11-13 04:21:10,2020-11-13,04:21:10,до 10 утра,1326
599,9,0,2,,#олимпикс_рекомендует,2020-11-12 02:05:16,2020-11-12,02:05:16,до 10 утра,1326
834,14,0,1,,,2020-11-11 13:32:23,2020-11-11,13:32:23,c 10 до 14 часов,1326
3813,90,0,1,,,2020-11-11 01:17:45,2020-11-11,01:17:45,до 10 утра,1326
41867,24,0,1,,,2020-11-08 20:04:11,2020-11-08,20:04:11,c 18 до 22 часов,1326
791,4,2,0,74.0,#олимпикс_опрос,2020-11-05 21:25:29,2020-11-05,21:25:29,c 18 до 22 часов,1326
555,5,0,0,,#олимпикс_термин,2020-11-05 00:45:02,2020-11-05,00:45:02,до 10 утра,1326
599,16,0,2,,#олимпикс_статья,2020-11-02 21:42:34,2020-11-02,21:42:34,c 18 до 22 часов,1326
563,7,0,0,,#олимпикс_термин,2020-11-01 17:06:09,2020-11-01,17:06:09,c 14 до 18 часов,1326
534,6,1,0,34.0,#олимпикс_опрос,2020-11-01 11:17:32,2020-11-01,11:17:32,c 10 до 14 часов,1326
554,13,0,6,,#олимпикс_подборка,2020-10-30 18:27:34,2020-10-30,18:27:34,c 18 до 22 часов,1326
510,13,1,0,,#олимпикс_термин,2020-10-29 20:16:35,2020-10-29,20:16:35,c 18 до 22 часов,1326
440,4,0,0,26.0,#олимпикс_опрос,2020-10-28 19:15:19,2020-10-28,19:15:19,c 18 до 22 часов,1326
15727,12,0,2,,#олимпикс_статья,2020-10-26 13:59:58,2020-10-26,13:59:58,c 10 до 14 часов,1326
572,9,0,0,,#олимпикс_рекомендации,2020-10-24 22:36:08,2020-10-24,22:36:08,после 22 часов,1326
1173,10,0,1,,,2020-10-23 19:49:32,2020-10-23,19:49:32,c 18 до 22 часов,1326
521,18,0,3,,#олимпикс_рекомендует,2020-10-22 14:06:25,2020-10-22,14:06:25,c 14 до 18 часов,1326
680,6,3,0,96.0,#олимпикс_опрос,2020-10-20 14:35:42,2020-10-20,14:35:42,c 14 до 18 часов,1326
599,13,1,3,,#олимпикс_подборка,2020-10-18 18:35:13,2020-10-18,18:35:13,c 18 до 22 часов,1326
572,20,0,3,,#олимпикс_мероприятие,2020-10-14 18:26:26,2020-10-14,18:26:26,c 18 до 22 часов,1326
540,13,0,7,,#олимпикс_подборка,2020-10-13 17:10:33,2020-10-13,17:10:33,c 14 до 18 часов,1326
455,12,0,3,,#олимпикс_рекомендует,2020-10-13 11:53:38,2020-10-13,11:53:38,c 10 до 14 часов,1326
456,6,0,0,51.0,#олимпикс_опрос,2020-10-12 11:37:53,2020-10-12,11:37:53,c 10 до 14 часов,1326
461,10,1,0,,,2020-10-11 16:22:17,2020-10-11,16:22:17,c 14 до 18 часов,1326
967,27,3,1,,#олимпикс_рекомендации,2020-10-08 00:26:31,2020-10-08,00:26:31,до 10 утра,1326
577,8,2,2,,#олимпикс_термин,2020-10-07 09:56:22,2020-10-07,09:56:22,до 10 утра,1326
475,3,0,0,,#олимпикс_новости,2020-10-06 13:55:02,2020-10-06,13:55:02,c 10 до 14 часов,1326
481,5,0,0,,,2020-10-05 18:32:24,2020-10-05,18:32:24,c 18 до 22 часов,1326
661,23,0,0,,,2020-10-05 14:51:24,2020-10-05,14:51:24,c 14 до 18 часов,1326
568,11,0,3,,#олимпикс_рекомендует,2020-10-03 23:42:42,2020-10-03,23:42:42,после 22 часов,1326
481,5,0,0,36.0,#олимпикс_опрос,2020-10-03 10:21:38,2020-10-03,10:21:38,c 10 до 14 часов,1326
487,9,0,0,,#олимпикс_термин,2020-10-02 11:31:53,2020-10-02,11:31:53,c 10 до 14 часов,1326
667,8,2,0,,#олимпикс_рекомендации,2020-09-30 22:34:46,2020-09-30,22:34:46,после 22 часов,1326
457,8,0,0,,#олимпикс_термин,2020-09-30 19:03:16,2020-09-30,19:03:16,c 18 до 22 часов,1326
19810,11,2,0,,,2020-09-29 20:34:06,2020-09-29,20:34:06,c 18 до 22 часов,1326
497,5,0,0,39.0,#олимпикс_опрос,2020-09-27 20:50:09,2020-09-27,20:50:09,c 18 до 22 часов,1326
555,8,1,0,,#олимпикс_термин,2020-09-27 13:06:36,2020-09-27,13:06:36,c 10 до 14 часов,1326
530,6,0,0,,,2020-09-22 02:21:18,2020-09-22,02:21:18,до 10 утра,1326
15946,22,1,7,,#олимпикс_подборка,2020-09-21 20:49:31,2020-09-21,20:49:31,c 18 до 22 часов,1326
468,6,0,0,22.0,#олимпикс_опрос,2020-09-21 14:01:16,2020-09-21,14:01:16,c 14 до 18 часов,1326
596,15,0,0,,,2020-09-20 11:24:18,2020-09-20,11:24:18,c 10 до 14 часов,1326
37182,22,1,2,,#олимпикс_статья,2020-09-19 19:52:07,2020-09-19,19:52:07,c 18 до 22 часов,1326
853,17,1,2,,#олимпикс_рекомендует,2020-09-18 19:27:57,2020-09-18,19:27:57,c 18 до 22 часов,1326
533,8,0,0,78.0,#олимпикс_опрос,2020-09-18 16:03:33,2020-09-18,16:03:33,c 14 до 18 часов,1326
482,11,0,2,,#олимпикс_подборка,2020-09-16 22:34:35,2020-09-16,22:34:35,после 22 часов,1326
5056,17,0,7,,,2020-09-15 23:48:39,2020-09-15,23:48:39,после 22 часов,1326
40017,123,0,1,,,2020-09-15 20:57:57,2020-09-15,20:57:57,c 18 до 22 часов,1326
425,5,0,1,,#олимпикс_термин,2020-09-14 22:12:00,2020-09-14,22:12:00,после 22 часов,1326
